Site : Entrée Baie de Somme (Somme)
latitude : 50.235233 - longitude : 1.472300
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	04:49	8.75	064	17:19	8.50	058	12:00	2.10	--:--	--.--
2021-06-02	05:47	8.25	053	18:20	8.10	049	00:26	2.45	12:56	2.50
2021-06-03	06:54	7.90	047	19:28	7.90	045	01:27	2.75	13:57	2.75
2021-06-04	08:04	7.85	046	20:36	7.95	047	02:32	2.85	15:01	2.75
2021-06-05	09:09	8.00	049	21:36	8.20	052	03:35	2.70	16:01	2.60
2021-06-06	10:05	8.25	054	22:27	8.45	057	04:34	2.55	16:57	2.40
2021-06-07	10:52	8.50	060	23:10	8.70	063	05:26	2.30	17:47	2.20
2021-06-08	11:33	8.70	065	23:50	8.90	068	06:13	2.15	18:32	2.05
2021-06-09	12:12	8.90	069	--:--	--.--	---	06:56	2.00	19:12	1.95
2021-06-10	00:26	9.00	071	12:48	9.00	072	07:35	1.85	19:50	1.90
2021-06-11	01:02	9.10	073	13:24	9.05	073	08:11	1.80	20:25	1.90
2021-06-12	01:36	9.10	073	13:59	9.05	073	08:46	1.80	20:58	1.90
2021-06-13	02:11	9.05	072	14:34	9.00	071	09:19	1.85	21:32	2.00
2021-06-14	02:47	8.95	069	15:11	8.85	067	09:54	1.95	22:07	2.15
2021-06-15	03:25	8.80	065	15:50	8.65	063	10:31	2.10	22:46	2.30
2021-06-16	04:06	8.55	060	16:34	8.40	058	11:12	2.25	23:31	2.50
2021-06-17	04:52	8.30	055	17:23	8.20	053	11:59	2.45	--:--	--.--
2021-06-18	05:47	8.15	052	18:22	8.10	051	00:23	2.60	12:54	2.55
2021-06-19	06:51	8.10	051	19:30	8.15	053	01:24	2.65	13:58	2.55
2021-06-20	08:01	8.25	056	20:39	8.45	059	02:32	2.50	15:08	2.35
2021-06-21	09:09	8.55	063	21:43	8.85	068	03:44	2.25	16:19	2.10
2021-06-22	10:13	8.90	073	22:43	9.20	078	04:53	1.90	17:25	1.75
2021-06-23	11:13	9.25	082	23:40	9.55	086	05:56	1.55	18:26	1.50
2021-06-24	12:09	9.55	090	--:--	--.--	---	06:56	1.25	19:22	1.30
2021-06-25	00:34	9.75	092	13:02	9.70	094	07:51	1.05	20:14	1.20
2021-06-26	01:25	9.90	095	13:53	9.80	094	08:42	1.00	21:04	1.20
2021-06-27	02:13	9.85	093	14:40	9.70	091	09:30	1.00	21:51	1.30
2021-06-28	03:00	9.70	088	15:26	9.50	084	10:15	1.20	22:36	1.50
2021-06-29	03:46	9.35	080	16:10	9.20	075	10:59	1.50	23:20	1.85
2021-06-30	04:30	9.00	070	16:55	8.80	065	11:42	1.90	--:--	--.--
