Site : Granville Le Cocaleu (Manche)
latitude : 48.834167 - longitude : -1.644333
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	00:32	11.00	060	12:58	10.45	055	07:35	3.35	19:52	4.00
2021-07-02	01:21	10.40	051	13:48	9.95	047	08:18	3.90	20:40	4.40
2021-07-03	02:17	9.90	044	14:47	9.65	043	09:08	4.30	21:37	4.65
2021-07-04	03:20	9.65	042	15:52	9.60	042	10:05	4.45	22:41	4.65
2021-07-05	04:25	9.65	043	16:54	9.85	046	11:08	4.35	23:46	4.40
2021-07-06	05:24	9.90	048	17:49	10.25	051	12:10	4.10	--:--	--.--
2021-07-07	06:16	10.25	054	18:37	10.70	057	00:44	4.00	13:06	3.75
2021-07-08	07:03	10.65	060	19:20	11.10	063	01:36	3.55	13:55	3.40
2021-07-09	07:45	11.00	066	20:00	11.45	068	02:21	3.20	14:38	3.10
2021-07-10	08:25	11.30	071	20:37	11.75	072	03:04	2.85	15:19	2.90
2021-07-11	09:03	11.50	074	21:15	11.95	075	03:44	2.65	15:58	2.70
2021-07-12	09:41	11.65	076	21:52	12.05	076	04:23	2.45	16:37	2.60
2021-07-13	10:19	11.70	076	22:31	12.05	076	05:02	2.40	17:15	2.55
2021-07-14	10:58	11.65	075	23:11	11.85	073	05:41	2.45	17:54	2.70
2021-07-15	11:38	11.40	071	23:52	11.55	068	06:20	2.65	18:33	2.95
2021-07-16	12:21	11.05	066	--:--	--.--	---	07:00	2.95	19:16	3.35
2021-07-17	00:38	11.15	063	13:09	10.65	060	07:44	3.30	20:05	3.70
2021-07-18	01:31	10.75	058	14:08	10.40	056	08:37	3.65	21:07	3.95
2021-07-19	02:36	10.50	055	15:20	10.30	055	09:43	3.85	22:21	3.95
2021-07-20	03:52	10.45	057	16:37	10.55	059	10:59	3.75	23:39	3.60
2021-07-21	05:09	10.70	063	17:49	11.05	067	12:16	3.40	--:--	--.--
2021-07-22	06:21	11.20	072	18:53	11.70	077	00:52	3.00	13:26	2.90
2021-07-23	07:23	11.70	081	19:49	12.25	085	01:59	2.40	14:29	2.40
2021-07-24	08:18	12.15	088	20:39	12.70	091	02:59	1.85	15:24	2.00
2021-07-25	09:06	12.45	092	21:24	12.90	093	03:51	1.50	16:13	1.75
2021-07-26	09:50	12.55	092	22:06	12.85	091	04:38	1.35	16:56	1.75
2021-07-27	10:30	12.40	089	22:45	12.60	085	05:19	1.45	17:34	1.90
2021-07-28	11:07	12.05	081	23:22	12.15	077	05:56	1.80	18:09	2.35
2021-07-29	11:42	11.55	072	23:57	11.50	066	06:29	2.35	18:40	2.90
2021-07-30	12:15	10.95	061	--:--	--.--	---	06:59	3.00	19:10	3.60
2021-07-31	00:32	10.75	055	12:51	10.30	050	07:30	3.70	19:43	4.25
