Site : Miquelon (Saint-Pierre_et_Miquelon)
latitude : 47.103832 - longitude : -56.373833
Système horaire : HEURES LOCALES -03h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	04:11	1.70	000	17:09	1.85	000	10:14	1.05	23:28	1.10
2021-09-02	05:19	1.70	000	18:11	1.90	000	11:33	1.00	--:--	--.--
2021-09-03	06:23	1.75	000	19:04	2.00	000	00:30	1.05	12:32	0.90
2021-09-04	07:17	1.85	000	19:49	2.05	000	01:18	0.95	13:20	0.80
2021-09-05	08:04	1.95	000	20:31	2.15	000	01:59	0.80	14:02	0.70
2021-09-06	08:46	2.05	000	21:11	2.20	000	02:36	0.70	14:43	0.60
2021-09-07	09:27	2.15	000	21:52	2.25	000	03:12	0.60	15:24	0.55
2021-09-08	10:08	2.25	000	22:34	2.25	000	03:49	0.55	16:05	0.50
2021-09-09	10:51	2.25	000	23:17	2.20	000	04:27	0.50	16:48	0.50
2021-09-10	11:35	2.25	000	--:--	--.--	---	05:07	0.50	17:31	0.55
2021-09-11	00:03	2.15	000	12:22	2.25	000	05:48	0.60	18:17	0.65
2021-09-12	00:51	2.05	000	13:12	2.15	000	06:32	0.65	19:08	0.75
2021-09-13	01:44	1.95	000	14:11	2.10	000	07:23	0.75	20:10	0.90
2021-09-14	02:44	1.90	000	15:18	2.05	000	08:26	0.85	21:33	0.95
2021-09-15	03:53	1.85	000	16:32	2.00	000	09:50	0.90	23:02	1.00
2021-09-16	05:08	1.85	000	17:47	2.05	000	11:15	0.90	--:--	--.--
2021-09-17	06:18	1.90	000	18:52	2.15	000	00:13	0.90	12:24	0.80
2021-09-18	07:19	2.00	000	19:46	2.20	000	01:07	0.85	13:19	0.70
2021-09-19	08:11	2.10	000	20:33	2.25	000	01:51	0.75	14:06	0.65
2021-09-20	08:55	2.20	000	21:14	2.25	000	02:29	0.70	14:48	0.60
2021-09-21	09:35	2.20	000	21:52	2.20	000	03:05	0.65	15:27	0.60
2021-09-22	10:12	2.20	000	22:27	2.15	000	03:38	0.65	16:03	0.60
2021-09-23	10:47	2.20	000	23:02	2.05	000	04:11	0.65	16:38	0.65
2021-09-24	11:22	2.15	000	23:38	2.00	000	04:44	0.70	17:12	0.70
2021-09-25	11:58	2.10	000	--:--	--.--	---	05:18	0.75	17:47	0.80
2021-09-26	00:14	1.95	000	12:36	2.00	000	05:53	0.85	18:24	0.90
2021-09-27	00:54	1.85	000	13:19	1.95	000	06:30	0.90	19:06	1.00
2021-09-28	01:38	1.80	000	14:10	1.85	000	07:11	1.00	20:00	1.10
2021-09-29	02:31	1.70	000	15:10	1.85	000	08:04	1.05	21:23	1.15
2021-09-30	03:33	1.70	000	16:20	1.85	000	09:19	1.10	22:54	1.15
