Site : Le Palais (Belle-Ile) (Morbihan)
latitude : 47.349998 - longitude : -3.150000
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	10:18	4.05	058	22:47	4.30	053	04:05	1.35	16:32	1.70
2021-06-02	11:41	3.90	049	--:--	--.--	---	05:07	1.60	17:39	1.90
2021-06-03	00:02	4.15	047	13:03	3.90	045	06:14	1.80	18:48	1.90
2021-06-04	01:12	4.15	046	14:04	4.00	047	07:21	1.80	19:51	1.85
2021-06-05	02:11	4.20	049	14:50	4.15	052	08:20	1.75	20:46	1.70
2021-06-06	02:59	4.30	054	15:27	4.30	057	09:10	1.60	21:34	1.60
2021-06-07	03:39	4.40	060	15:59	4.45	063	09:53	1.50	22:15	1.50
2021-06-08	04:16	4.50	065	16:31	4.55	068	10:31	1.40	22:53	1.40
2021-06-09	04:51	4.55	069	17:02	4.65	071	11:05	1.35	23:28	1.30
2021-06-10	05:25	4.60	072	17:34	4.70	073	11:39	1.30	--:--	--.--
2021-06-11	05:58	4.60	073	18:05	4.70	073	00:03	1.30	12:13	1.30
2021-06-12	06:32	4.60	073	18:39	4.70	072	00:39	1.25	12:47	1.35
2021-06-13	07:06	4.50	071	19:14	4.65	069	01:16	1.30	13:24	1.40
2021-06-14	07:43	4.40	067	19:54	4.55	065	01:54	1.35	14:03	1.50
2021-06-15	08:25	4.30	063	20:40	4.45	060	02:35	1.45	14:46	1.60
2021-06-16	09:15	4.15	058	21:35	4.30	055	03:19	1.55	15:34	1.70
2021-06-17	10:18	4.05	053	22:40	4.25	052	04:10	1.60	16:30	1.75
2021-06-18	11:32	4.05	051	23:53	4.25	051	05:08	1.65	17:32	1.75
2021-06-19	12:46	4.15	053	--:--	--.--	---	06:12	1.65	18:37	1.70
2021-06-20	01:06	4.30	056	13:51	4.35	059	07:18	1.50	19:41	1.50
2021-06-21	02:12	4.45	063	14:48	4.55	068	08:19	1.30	20:41	1.25
2021-06-22	03:13	4.65	073	15:40	4.80	078	09:16	1.10	21:38	1.00
2021-06-23	04:08	4.85	082	16:30	5.00	086	10:10	0.90	22:34	0.75
2021-06-24	05:01	5.00	090	17:19	5.15	092	11:02	0.75	23:28	0.60
2021-06-25	05:52	5.05	094	18:07	5.20	095	11:53	0.70	--:--	--.--
2021-06-26	06:40	5.00	094	18:54	5.20	093	00:21	0.55	12:43	0.75
2021-06-27	07:26	4.85	091	19:41	5.05	088	01:12	0.60	13:32	0.85
2021-06-28	08:09	4.65	084	20:27	4.90	080	02:02	0.70	14:22	1.05
2021-06-29	08:51	4.45	075	21:12	4.65	070	02:52	0.95	15:12	1.30
2021-06-30	09:32	4.20	065	21:59	4.45	060	03:41	1.20	16:04	1.55
