Site : Paimpol (Côtes-d'Armor)
latitude : 48.791668 - longitude : -2.945833
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	12:20	9.00	058	--:--	--.--	---	06:25	2.85	18:46	3.55
2021-06-02	00:43	9.00	053	13:20	8.50	049	07:20	3.40	19:47	4.00
2021-06-03	01:49	8.55	047	14:30	8.25	045	08:24	3.75	20:59	4.10
2021-06-04	03:01	8.40	046	15:40	8.35	047	09:33	3.80	22:10	3.95
2021-06-05	04:08	8.55	049	16:41	8.65	052	10:37	3.55	23:09	3.60
2021-06-06	05:05	8.85	054	17:32	9.00	057	11:31	3.25	23:59	3.20
2021-06-07	05:54	9.15	060	18:16	9.40	063	12:18	2.95	--:--	--.--
2021-06-08	06:37	9.40	065	18:55	9.70	068	00:43	2.90	13:00	2.70
2021-06-09	07:16	9.60	069	19:31	9.90	071	01:22	2.60	13:38	2.50
2021-06-10	07:53	9.75	072	20:05	10.05	073	01:58	2.45	14:13	2.40
2021-06-11	08:27	9.85	073	20:37	10.15	073	02:33	2.30	14:48	2.35
2021-06-12	09:01	9.85	073	21:10	10.10	072	03:07	2.25	15:21	2.40
2021-06-13	09:35	9.75	071	21:44	10.00	069	03:41	2.30	15:55	2.50
2021-06-14	10:10	9.60	067	22:20	9.75	065	04:16	2.45	16:31	2.75
2021-06-15	10:49	9.30	063	23:00	9.45	060	04:54	2.65	17:11	3.00
2021-06-16	11:32	9.00	058	23:47	9.10	055	05:36	2.90	17:55	3.35
2021-06-17	12:23	8.70	053	--:--	--.--	---	06:24	3.20	18:49	3.60
2021-06-18	00:42	8.85	052	13:24	8.50	051	07:22	3.40	19:53	3.70
2021-06-19	01:48	8.70	051	14:34	8.50	053	08:29	3.40	21:05	3.55
2021-06-20	03:01	8.85	056	15:46	8.80	059	09:41	3.20	22:16	3.20
2021-06-21	04:12	9.15	063	16:54	9.30	068	10:50	2.85	23:23	2.70
2021-06-22	05:19	9.60	073	17:55	9.85	078	11:55	2.35	--:--	--.--
2021-06-23	06:21	10.05	082	18:52	10.35	086	00:25	2.15	12:54	1.95
2021-06-24	07:19	10.40	090	19:45	10.70	092	01:22	1.70	13:50	1.65
2021-06-25	08:12	10.60	094	20:34	10.90	095	02:16	1.40	14:41	1.55
2021-06-26	09:02	10.65	094	21:21	10.90	093	03:07	1.25	15:29	1.60
2021-06-27	09:50	10.55	091	22:06	10.70	088	03:55	1.30	16:14	1.75
2021-06-28	10:34	10.25	084	22:50	10.35	080	04:40	1.55	16:58	2.10
2021-06-29	11:17	9.85	075	23:33	9.90	070	05:24	1.95	17:41	2.55
2021-06-30	11:59	9.35	065	--:--	--.--	---	06:07	2.45	18:24	3.05
