Site : Papeete [Polynesie francaise] (Polynésie_française)
latitude : -17.533333 - longitude : -149.566666
Système horaire : HEURES LOCALES -10h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	11:09	0.55	000	23:43	0.55	000	05:37	0.45	17:22	0.40
2021-09-02	11:20	0.55	000	23:49	0.55	000	05:31	0.40	17:38	0.40
2021-09-03	11:39	0.60	000	--:--	--.--	---	05:38	0.40	17:57	0.35
2021-09-04	00:03	0.60	000	12:00	0.60	000	05:52	0.40	18:18	0.35
2021-09-05	00:20	0.60	000	12:23	0.65	000	06:07	0.35	18:40	0.35
2021-09-06	00:37	0.60	000	12:44	0.65	000	06:23	0.35	19:00	0.35
2021-09-07	00:53	0.65	000	13:05	0.65	000	06:39	0.35	19:18	0.40
2021-09-08	01:07	0.65	000	13:25	0.65	000	06:57	0.35	19:35	0.40
2021-09-09	01:21	0.65	000	13:44	0.65	000	07:17	0.35	19:50	0.40
2021-09-10	01:35	0.60	000	14:03	0.65	000	07:40	0.35	20:04	0.40
2021-09-11	01:48	0.60	000	14:22	0.60	000	08:04	0.35	20:16	0.45
2021-09-12	01:58	0.60	000	14:35	0.55	000	08:30	0.40	20:17	0.45
2021-09-13	01:53	0.55	000	14:28	0.50	000	08:51	0.45	19:34	0.45
2021-09-14	01:03	0.55	000	23:56	0.55	000	17:49	0.45	--:--	--.--
2021-09-15	10:29	0.55	000	23:30	0.55	000	05:06	0.45	17:18	0.40
2021-09-16	10:47	0.55	000	23:32	0.60	000	05:01	0.40	17:24	0.40
2021-09-17	11:12	0.60	000	23:44	0.60	000	05:14	0.40	17:40	0.35
2021-09-18	11:38	0.65	000	--:--	--.--	---	05:32	0.35	17:58	0.35
2021-09-19	00:00	0.60	000	12:03	0.65	000	05:52	0.35	18:17	0.35
2021-09-20	00:17	0.65	000	12:28	0.70	000	06:11	0.35	18:36	0.35
2021-09-21	00:33	0.65	000	12:51	0.70	000	06:30	0.35	18:54	0.35
2021-09-22	00:49	0.65	000	13:13	0.65	000	06:49	0.35	19:10	0.40
2021-09-23	01:02	0.65	000	13:32	0.65	000	07:06	0.35	19:26	0.40
2021-09-24	01:12	0.60	000	13:48	0.60	000	07:22	0.35	19:39	0.40
2021-09-25	01:22	0.60	000	13:59	0.60	000	07:37	0.40	19:50	0.40
2021-09-26	01:29	0.60	000	14:02	0.55	000	07:50	0.40	19:57	0.45
2021-09-27	01:31	0.55	000	13:50	0.50	000	07:56	0.45	19:44	0.45
2021-09-28	01:19	0.55	000	12:57	0.50	000	07:24	0.45	18:12	0.45
2021-09-29	00:39	0.50	000	23:41	0.55	000	17:20	0.40	--:--	--.--
2021-09-30	10:59	0.55	000	23:15	0.55	000	05:18	0.45	17:13	0.40
