Site : Saint-Martin de Ré (Charente-Maritime)
latitude : 46.208000 - longitude : -1.365500
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	10:45	4.70	055	23:03	4.95	051	04:30	1.80	16:57	2.10
2021-07-02	12:14	4.60	047	--:--	--.--	---	05:22	2.10	17:53	2.35
2021-07-03	00:08	4.80	044	13:33	4.60	043	06:19	2.35	18:53	2.45
2021-07-04	01:22	4.75	042	14:26	4.75	042	07:19	2.45	19:53	2.45
2021-07-05	02:26	4.80	043	15:07	4.90	046	08:20	2.45	20:50	2.40
2021-07-06	03:16	4.95	048	15:43	5.05	051	09:14	2.30	21:41	2.25
2021-07-07	04:00	5.05	054	16:17	5.20	057	10:00	2.15	22:27	2.10
2021-07-08	04:39	5.20	060	16:50	5.35	063	10:41	2.00	23:08	1.90
2021-07-09	05:15	5.30	066	17:23	5.45	068	11:20	1.85	23:47	1.70
2021-07-10	05:50	5.40	071	17:55	5.55	072	11:57	1.70	--:--	--.--
2021-07-11	06:25	5.45	074	18:29	5.60	075	00:26	1.55	12:35	1.55
2021-07-12	06:59	5.45	076	19:04	5.65	076	01:04	1.45	13:13	1.50
2021-07-13	07:35	5.45	076	19:43	5.60	076	01:42	1.40	13:52	1.50
2021-07-14	08:15	5.40	075	20:27	5.55	073	02:21	1.40	14:32	1.55
2021-07-15	09:00	5.30	071	21:17	5.45	068	03:01	1.50	15:15	1.70
2021-07-16	09:55	5.15	066	22:16	5.30	063	03:45	1.60	16:02	1.80
2021-07-17	11:04	5.05	060	23:29	5.20	058	04:34	1.80	16:56	1.95
2021-07-18	12:24	5.05	056	--:--	--.--	---	05:30	1.95	17:58	2.05
2021-07-19	00:51	5.15	055	13:39	5.15	055	06:36	2.05	19:06	2.05
2021-07-20	02:08	5.20	057	14:44	5.35	059	07:45	2.00	20:15	1.90
2021-07-21	03:15	5.35	063	15:40	5.60	067	08:53	1.85	21:22	1.65
2021-07-22	04:15	5.55	072	16:32	5.85	077	09:56	1.60	22:24	1.35
2021-07-23	05:07	5.70	081	17:20	6.00	085	10:53	1.30	23:21	1.05
2021-07-24	05:54	5.80	088	18:06	6.10	091	11:45	1.10	--:--	--.--
2021-07-25	06:38	5.80	092	18:48	6.15	093	00:13	0.85	12:33	1.00
2021-07-26	07:16	5.75	092	19:27	6.05	091	01:01	0.80	13:19	1.00
2021-07-27	07:50	5.60	089	20:01	5.85	085	01:46	0.85	14:03	1.10
2021-07-28	08:18	5.40	081	20:33	5.65	077	02:28	1.05	14:46	1.35
2021-07-29	08:44	5.20	072	21:08	5.40	066	03:10	1.35	15:29	1.65
2021-07-30	09:16	4.95	061	21:49	5.10	055	03:51	1.70	16:14	2.00
2021-07-31	09:59	4.75	050	22:43	4.85	045	04:34	2.10	17:01	2.35
